1.0.0.106#AU 1546.19ms
1.0.0.170#AU 1560.53ms
1.0.0.28#AU 1583.14ms
1.0.0.147#AU 1583.30ms
1.0.0.172#AU 1595.34ms
1.0.0.197#AU 1597.90ms
1.0.0.205#AU 1634.38ms
1.0.0.142#AU 1635.41ms
1.0.0.57#AU 1635.83ms
1.0.0.120#AU 1642.43ms
1.0.0.144#AU 1670.63ms
1.0.0.59#AU 1672.14ms
1.0.0.204#AU 1680.30ms
1.0.0.26#AU 1687.66ms
1.0.0.180#AU 1697.45ms
1.0.0.150#AU 1705.62ms
1.0.0.209#AU 1714.83ms
1.0.0.58#AU 1716.47ms
1.0.0.175#AU 1732.53ms
1.0.0.111#AU 1737.53ms
1.0.0.23#AU 1782.25ms
1.0.0.107#AU 1789.98ms
1.0.0.146#AU 1808.38ms
1.0.0.30#AU 1816.94ms
1.0.0.179#AU 1827.09ms
1.0.0.115#AU 1828.77ms
1.0.0.210#AU 1844.04ms
1.0.0.29#AU 1854.97ms
1.0.0.178#AU 1862.87ms
1.0.0.116#AU 1923.11ms
1.0.0.117#AU 1958.29ms
1.0.0.118#AU 1993.29ms
1.0.0.119#AU 2030.90ms
